isbn13,isbn10,title,authors,categories,description,thumbnail,average_rating,num_pages,cleaned_description,simple_categories_binary,genre
9780006480099,0006480098,Assassin's Apprentice,Robin Hobb,Fiction,Fantasy-roman.,http://books.google.com/books/content?id=qTaGQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.15,460.0,fantasyroman,fiction,Literature & Drama
9780006482079,0006482074,Warhost of Vastmark,Janny Wurts,Fiction,"Tricked once more by his wily half-brother, Lysaer, Lord of Light, arrives at the tiny harbor town of Merior to find that Arithon's ship yards have been abandoned and meticulously destroyed, and that the Master of Shadow has disappeared as if into thin air. Meanwhile Arithon and the Mad Prophet Dakar are traveling on foot through the treacherous Kelhorn Mountains towards the Vastmark clans, there to raise further support for his cause. But raising a warhost is a costly business. Is it mere coincidence that Princess Talith—Lysaer's beautiful, headstrong wife—is taken captive and held for a vast ransom by a master brigand? The forces of light and shadow circle and feint, drawing ever closer to a huge conflict. And in the background the Fellowship of Seven Sorcerers and the Koriani Enchantresses watch and plan, and wait.",http://books.google.com/books/content?id=uOL0fpS9WZkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.03,522.0,tricked wily halfbrother lysaer lord light arrives tiny harbor town merior find arithons ship yard abandoned meticulously destroyed master shadow disappeared thin air meanwhile arithon mad prophet dakar traveling foot treacherous kelhorn mountain towards vastmark clan raise support cause raising warhost costly business mere coincidence princess talithlysaers beautiful headstrong wifeis taken captive held vast ransom master brigand force light shadow circle feint drawing ever closer huge conflict background fellowship seven sorcerer koriani enchantress watch plan wait,fiction,Literature & Drama
9780006483014,0006483011,The Once and Future King,Terence Hanbury White,Fiction,"An omnibus volume of the author's complete story of the Arthurian epic which includes: ""The sword in the stone"" (1939), ""The witch in the wood"" (1939), ""The ill-made knight"" (1940), ""The candle in the wind"" (published for the first time), and ""The book of Merlyn."" 1996.",http://books.google.com/books/content?id=Jx6BvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.04,823.0,omnibus volume author complete story arthurian epic includes sword stone witch wood illmade knight candle wind published first time book merlyn,fiction,Literature & Drama
9780006483892,0006483895,Murder in LaMut,Raymond E. Feist;Joel Rosenberg,Fiction,"Available in the U.S. for the first time, this is the second volume in the exceptional Legends of the Riftwar series from ""New York Times""-bestselling authors Feist and Rosenberg.",http://books.google.com/books/content?id=I2jbBlMHlAMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.7,337.0,available u first time second volume exceptional legend riftwar series new york timesbestselling author feist rosenberg,fiction,Literature & Drama
9780006496878,0006496873,Mystical Paths,Susan Howatch,Fiction,1968 finds Nicholas Darrow wrestling with personal problems. How can he marry Rosalind when he is unable to avoid promiscuity? How can he become a priest when he finds it so difficult to live as one? And can he break his dangerous dependence on his father?,http://books.google.com/books/content?id=by4ytBy63o0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.23,576.0,find nicholas darrow wrestling personal problem marry rosalind unable avoid promiscuity become priest find difficult live one break dangerous dependence father,fiction,Literature & Drama
9780006496892,000649689X,Glittering Images,Susan Howatch,Fiction,"It is 1937, and Charles Ashworth, a Canon to the Archbishop of Canterbury, is sent to untangle a web of self-delusion and corruption at the episcopal palace of the charismatic Bishop of Starbridge.",http://books.google.com/books/content?id=rDHbn0ORKhQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.07,512.0,charles ashworth canon archbishop canterbury sent untangle web selfdelusion corruption episcopal palace charismatic bishop starbridge,fiction,Literature & Drama
9780006499169,0006499163,Post Captain,Patrick O'Brian,Fiction,"This tale begins with Jack Aubrey arriving home from his exploits in the Mediterranean to find England at peace following the Treaty of Amiens. He and his friend Stephen Maturin, surgeon and secret agent, begin to live the lives of country gentlemen, hunting, entertaining and enjoying more amorous adventures. Their comfortable existence, however, is cut short when Jack is overnight reduced to a pauper with enough debts to keep him in prison for life. He flees to the continent to seek refuge: instead he finds himself a hunted fugitive as Napoleon has ordered the internment of all Englishmen in France. Aubrey's adventures in escaping from France and the debtors' prison will grip the reader as fast as his unequalled actions at sea.",http://books.google.com/books/content?id=S761k-z51Q4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.29,474.0,tale begin jack aubrey arriving home exploit mediterranean find england peace following treaty amiens friend stephen maturin surgeon secret agent begin live life country gentleman hunting entertaining enjoying amorous adventure comfortable existence however cut short jack overnight reduced pauper enough debt keep prison life flees continent seek refuge instead find hunted fugitive napoleon ordered internment englishman france aubreys adventure escaping france debtor prison grip reader fast unequalled action sea,fiction,Literature & Drama
9780006499268,0006499260,The Reverse of the Medal,Patrick O'Brian,Fiction,"In this book, Jack Aubrey returns from his duties protecting whalers off the South American coast and is persuaded by a casual acquaintance to make investments in the City on the strength of supposedly certain information. From there he is led into the half-worlds of the London criminal underground and of government espionage - the province of his friend, Stephen Maturin.",http://books.google.com/books/content?id=YtjxFRb39Z4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.41,261.0,book jack aubrey return duty protecting whaler south american coast persuaded casual acquaintance make investment city strength supposedly certain information led halfworlds london criminal underground government espionage province friend stephen maturin,fiction,Literature & Drama
9780006499626,0006499627,Miss Marple,Agatha Christie,Fiction,"Miss Marple featured in 20 short stories, published in a number of different collections in Britain and America. Presented here in their order of publication, Miss Marple uses her unique insight to deduce the truth about a series of unsolved crimes.",http://books.google.com/books/content?id=a96qPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,359.0,miss marple featured short story published number different collection britain america presented order publication miss marple us unique insight deduce truth series unsolved crime,fiction,Literature & Drama
9780006514640,0006514642,The Wise Woman,Philippa Gregory,History,"Alone and vulnerable, Alys joins a nunnery in an attempt to escape poverty but finds herself thrown back into the outside world when Henry VIII's wreckers destroy her sanctuary. With nothing but her looks, her magic and her own instinctive cunning, Alys has to tread a perilous path between the faith of her childhood and her own female power. When she falls in love with Hugo, the feudal lord and another woman's husband, she dips into witchcraft to defeat her rival and to win her lover, only to find that magic makes a poor servant but a dominant master. Since heresy against the new church means the stake, and witchcraft the rope, Alys's danger is mortal. A woman's powers are not longer safe to use...",http://books.google.com/books/content?id=BEr9wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.31,640.0,alone vulnerable alys join nunnery attempt escape poverty find thrown back outside world henry viii wrecker destroy sanctuary nothing look magic instinctive cunning alys tread perilous path faith childhood female power fall love hugo feudal lord another woman husband dip witchcraft defeat rival win lover find magic make poor servant dominant master since heresy new church mean stake witchcraft rope alyss danger mortal woman power longer safe use,nonfiction,Biography & History
9780006514855,0006514855,Girls' Night in,Jessica Adams;Chris Manby;Fiona Walker,Fiction,"'Girls' Night In' features stories about growing up, growing out of, moving out, moving on, falling apart and getting it all together. So turn off your cell phone and curl up on the couch: this is one 'Girls' Night In' you won't want to miss.",http://books.google.com/books/content?id=xLwHHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.26,586.0,girl night feature story growing growing moving moving falling apart getting together turn cell phone curl couch one girl night wont want miss,fiction,Literature & Drama
9780006550433,0006550436,The Bonesetter's Daughter,Amy Tan,History,"Tells the story of three generations of Chinese women, beginning at the turn of the century.",http://books.google.com/books/content?id=4KHT6mIMDt4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.98,352.0,tell story three generation chinese woman beginning turn century,fiction,Biography & History
9780006646006,000664600X,Ocean Star Express,Mark Haddon;Peter Sutton,Juvenile Fiction,"Joe and his parents are enjoying a summer holiday by the sea at the Ocean Star Hotel. The sky is bright blue, the sun shines and Joe loves all that the seaside has to offer. But when the fog rolls in and rain falls Joe begins to wish that he was back at home again. Things change, however, when the owner of the hotel invites Joe to share in a magical world, only a few steps away. The loft is black as night but then above Joe's head a thousand tiny stars begin to sparkle and in the distance he hears the chug-chug-chug of a model train. A whole world is soon to open up before Joe's eyes, a world of snow-capped mountains, great deserts, and rocking fishing boats.",http://books.google.com/books/content?id=I2QZAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.5,32.0,joe parent enjoying summer holiday sea ocean star hotel sky bright blue sun shine joe love seaside offer fog roll rain fall joe begin wish back home thing change however owner hotel invite joe share magical world step away loft black night joes head thousand tiny star begin sparkle distance hears chugchugchug model train whole world soon open joes eye world snowcapped mountain great desert rocking fishing boat,fiction,Childrens Books
9780006754893,0006754899,A Small Pinch of Weather,Joan Aiken,Fiction,A magical and fantastic collection of early stories by one of the most original children's authors of the 20th century. For 8-11 year olds.,http://books.google.com/books/content?id=QiFhOBpYZoYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.27,239.0,magical fantastic collection early story one original childrens author th century year old,fiction,Literature & Drama
9780007111503,0007111509,Partners in Crime,Agatha Christie,Fiction,"The Famous Volume Of Tommy & Tuppence Linked Short Stories, Reissued In A New Look To Coincide With The Brand New Series Of Tommy & Tuppence Bbc Movies. Tommy And Tuppence Beresford Were Restless For Adventure, So When They Were Asked To Take Over Blunt S International Detective Agency, They Leapt At The Chance. After Their Triumphant Recovery Of A Pink Pearl, Intriguing Cases Kept On Coming Their Way: A Stabbing On Sunningdale Golf Course; Cryptic Messages In The Personal Columns Of Newspapers; And Even A Box Of Poisoned Chocolates.",http://books.google.com/books/content?id=L0bfy0zgkegC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.77,347.0,famous volume tommy tuppence linked short story reissued new look coincide brand new series tommy tuppence bbc movie tommy tuppence beresford restless adventure asked take blunt international detective agency leapt chance triumphant recovery pink pearl intriguing case kept coming way stabbing sunningdale golf course cryptic message personal column newspaper even box poisoned chocolate,fiction,Literature & Drama
9780007113804,0007113803,Murder in Mesopotamia,Agatha Christie,Fiction,"An archaeologist's wife is murdered on the shores of the River Tigris in Iraq... It was clear to Amy Leatheran that something sinister was going on at the Hassanieh dig in Iraq; something associated with the presence of 'Lovely Louise', wife of celebrated archaeologist Dr Leidner. In a few days' time Hercule Poirot was due to drop in at the excavation site. But with Louise suffering from terrifying hallucinations, and tension within the group becoming almost unbearable, Poirot might just be too late...",http://books.google.com/books/content?id=oFkbc7BbYN0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.89,264.0,archaeologist wife murdered shore river tigris iraq clear amy leatheran something sinister going hassanieh dig iraq something associated presence lovely louise wife celebrated archaeologist dr leidner day time hercule poirot due drop excavation site louise suffering terrifying hallucination tension within group becoming almost unbearable poirot might late,fiction,Literature & Drama
9780007116263,0007116268,"The Lord of the Rings, the Return of the King",Jude Fisher,History,"A visual guide to the third in the Lord of the Rings movie trilogy. A large-format, full-colour guide to the characters, places, landscapes, artefacts, battles, and costumes as seen in the film, it features images, informative text and specially commissioned extras.",http://books.google.com/books/content?id=kNBnQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.59,72.0,visual guide third lord ring movie trilogy largeformat fullcolour guide character place landscape artefact battle costume seen film feature image informative text specially commissioned extra,nonfiction,Biography & History
9780007119332,000711933X,Death in the Clouds,Agatha Christie,Fiction,"A woman is killed by a poisoned dart in the enclosed confines of a commercial passenger plane... From seat No.9, Hercule Poirot was ideally placed to observe his fellow air passengers. Over to his right sat a pretty young woman, clearly infatuated with the man opposite; ahead, in seat No.13, sat a Countess with a poorly-concealed cocaine habit; across the gangway in seat No.8, a detective writer was being troubled by an aggressive wasp. What Poirot did not yet realize was that behind him, in seat No.2, sat the slumped, lifeless body of a woman.",http://books.google.com/books/content?id=M8iyckq4GQ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.8,333.0,woman killed poisoned dart enclosed confines commercial passenger plane seat hercule poirot ideally placed observe fellow air passenger right sat pretty young woman clearly infatuated man opposite ahead seat sat countess poorlyconcealed cocaine habit across gangway seat detective writer troubled aggressive wasp poirot yet realize behind seat sat slumped lifeless body woman,fiction,Literature & Drama
9780007119356,0007119356,Appointment with Death,Agatha Christie,Fiction,"A repugnant Amercian widow is killed during a trip to Petra... Among the towering red cliffs of Petra, like some monstrous swollen Buddha, sat the corpse of Mrs Boynton. A tiny puncture mark on her wrist was the only sign of the fatal injection that had killed her. With only 24 hours available to solve the mystery, Hercule Poirot recalled a chance remark he'd overheard back in Jerusalem: 'You see, don't you, that she's got to be killed?' Mrs Boynton was, indeed, the most detestable woman he'd ever met...",http://books.google.com/books/content?id=lSYwsRkcw4YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.86,303.0,repugnant amercian widow killed trip petra among towering red cliff petra like monstrous swollen buddha sat corpse mr boynton tiny puncture mark wrist sign fatal injection killed hour available solve mystery hercule poirot recalled chance remark hed overheard back jerusalem see dont shes got killed mr boynton indeed detestable woman hed ever met,fiction,Literature & Drama
9780007120680,0007120680,Hallowe'en Party,Agatha Christie,Fiction,"No one believes a little girl when she insists that she has witnessed a murder until she herself turns up drowned, and Hercule Poirot sets out to catch the killer.",http://books.google.com/books/content?id=Qlx98EGK_jMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.66,336.0,one belief little girl insists witnessed murder turn drowned hercule poirot set catch killer,fiction,Literature & Drama
9780007120697,0007120699,Hercule Poirot's Christmas,Agatha Christie,Fiction,"On the night before Christmas, cruel, tyrannical, filthy-rich Simeon Lee is found in his locked bedroom with his throat cut. Now Hercule Poirot must put his deductive powers to the test to solve one of his most chilling cases--and to prevent a clever killer from spilling more blood.",http://books.google.com/books/content?id=EA0j4Jzn4vAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.93,335.0,night christmas cruel tyrannical filthyrich simeon lee found locked bedroom throat cut hercule poirot must put deductive power test solve one chilling casesand prevent clever killer spilling blood,fiction,Literature & Drama
9780007120819,0007120818,The Big Four,Agatha Christie,Fiction,"A ruthless international cartel seeks world domination... Framed in the doorway of Poirot's bedroom stood an uninvited guest, coated from head to foot in dust. The man's gaunt face stared for a moment, then he swayed and fell. Who was he? Was he suffering from shock or just exhaustion? Above all, what was the significance of the figure 4, scribbled over and over again on a sheet of paper? Poirot finds himself plunged into a world of international intrigue, risking his life to uncover the truth about 'Number Four'.",http://books.google.com/books/content?id=wcOQUSWQEdUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.59,272.0,ruthless international cartel seek world domination framed doorway poirots bedroom stood uninvited guest coated head foot dust man gaunt face stared moment swayed fell suffering shock exhaustion significance figure scribbled sheet paper poirot find plunged world international intrigue risking life uncover truth number four,fiction,Literature & Drama
9780007120864,0007120869,The Thirteen Problems,Agatha Christie,Fiction,The Tuesday Night Club is a venue where locals challenge Miss Marple to solve recent crimes... One Tuesday evening a group gathers at Miss Marple's house and the conversation turns to unsolved crimes... The case of the disappearing bloodstains; the thief who committed his crime twice over; the message on the death-bed of a poisoned man which read 'heap of fish'; the strange case of the invisible will; a spiritualist who warned that 'Blue Geranium' meant death... Now pit your wits against the powers of deduction of the 'Tuesday Night Club'.,http://books.google.com/books/content?id=MK9JNwoZAncC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.89,315.0,tuesday night club venue local challenge miss marple solve recent crime one tuesday evening group gather miss marples house conversation turn unsolved crime case disappearing bloodstain thief committed crime twice message deathbed poisoned man read heap fish strange case invisible spiritualist warned blue geranium meant death pit wit power deduction tuesday night club,fiction,Literature & Drama
9780007120871,0007120877,They Do it with Mirrors,Agatha Christie,Fiction,"A man is shot at in a juvenile reform home - but someone else dies... Miss Marple senses danger when she visits a friend living in a Victorian mansion which doubles as a rehabilitiation centre for delinquents. Her fears are confirmed when a youth fires a revolver at the administrator, Lewis Serrocold. Neither is injured. But a mysterious visitor, Mr Gilbrandsen, is less fortunate - shot dead simultaneously in another part of the building. Pure coincidence? Miss Marple thinks not, and vows to discover the real reason for Mr Gilbrandsen's visit.",http://books.google.com/books/content?id=HUuQYGppZi8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.75,284.0,man shot juvenile reform home someone else dy miss marple sens danger visit friend living victorian mansion double rehabilitiation centre delinquent fear confirmed youth fire revolver administrator lewis serrocold neither injured mysterious visitor mr gilbrandsen less fortunate shot dead simultaneously another part building pure coincidence miss marple think vow discover real reason mr gilbrandsens visit,fiction,Literature & Drama
9780007120963,0007120966,A Murder is Announced,Agatha Christie,Fiction,"The villagers of Chipping Cleghorn are amazed by an advertisement in the local paper which reads ""A murder is announced and will take place on Friday October 29th, at Little Paddocks at 6.30pm. Unable to resist, a crowd begins to gather at the house at the appointed time. But when a man is killed in what looks like an attempted robbery, Miss Marple becomes involved.",http://books.google.com/books/content?id=QEEvzeAkdzoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.98,382.0,villager chipping cleghorn amazed advertisement local paper read murder announced take place friday october th little paddock pm unable resist crowd begin gather house appointed time man killed look like attempted robbery miss marple becomes involved,fiction,Literature & Drama
9780007120987,0007120982,The Mirror Crack'd from Side to Side,Agatha Christie,Fiction,"One Minute, Silly Heather Badcock Had Been Gabbling On At Her Movie Idol, The Glamorous Marina Gregg. The Next, Heather Suffered A Massive Seizure. But For Whom Was The Deadly Poison Really Intended? Marina S Frozen Expression Suggested She Had Witnessed Something Horrific. But, While Others Searched For Material Evidence, Jane Marple Conducted A Very Different Investigation Into Human Nature.",http://books.google.com/books/content?id=lTYId7FIJEsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.91,351.0,one minute silly heather badcock gabbling movie idol glamorous marina gregg next heather suffered massive seizure deadly poison really intended marina frozen expression suggested witnessed something horrific others searched material evidence jane marple conducted different investigation human nature,fiction,Literature & Drama
9780007121014,0007121016,Taken at the Flood,Agatha Christie,Fiction,"A Few Weeks After Marrying An Attractive Young Widow, Gordon Cloade Is Tragically Killed By A Bomb Blast In The London Blitz. Overnight, The Former Mrs Underhay Finds Herself In Sole Possession Of The Cloade Family Fortune. Shortly Afterwards, Hercule Poirot Receives A Visit From The Dead Man S Sister-In-Law Who Claims She Has Been Warned By Spirits That Mrs Underhay S First Husband Is Still Alive. Poirot Has His Suspicions When He Is Asked To Find A Missing Person Guided Only By The Spirit World. Yet What Mystifies Poirot Most Is The Woman S True Motive For Approaching Him&",http://books.google.com/books/content?id=3gWlxIFlMEwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.71,352.0,week marrying attractive young widow gordon cloade tragically killed bomb blast london blitz overnight former mr underhay find sole possession cloade family fortune shortly afterwards hercule poirot receives visit dead man sisterinlaw claim warned spirit mr underhay first husband still alive poirot suspicion asked find missing person guided spirit world yet mystifies poirot woman true motive approaching,fiction,Literature & Drama
9780007121021,0007121024,The Hollow,Agatha Christie,Fiction,"Lucy Angkatell Invited Hercule Poirot To Lunch. To Tease The Great Detective, Her Guests Stage A Mock Murder Beside The Swimming Pool. Unfortunately, The Victim Plays The Scene For Real. As His Blood Drips Into The Water, John Christow Gasps One Final Word: Henrietta . In The Confusion, A Gun Sinks To The Bottom Of The Pool. Poirot S Enquiries Reveal A Complex Web Of Romantic Attachments. It Seems Everyone In The Drama Is A Suspect And Each A Victim Of Love.",http://books.google.com/books/content?id=-f1h4e0hl0oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.79,384.0,lucy angkatell invited hercule poirot lunch tease great detective guest stage mock murder beside swimming pool unfortunately victim play scene real blood drip water john christow gasp one final word henrietta confusion gun sink bottom pool poirot enquiry reveal complex web romantic attachment seems everyone drama suspect victim love,fiction,Literature & Drama
9780007122585,0007122586,The Secret of Chimneys,Agatha Christie,Fiction,A young drifter finds more than he bargained for when he agrees to deliver a parcel to an English country house...,http://books.google.com/books/content?id=1OluX5g96OcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.86,400.0,young drifter find bargained agrees deliver parcel english country house,fiction,Literature & Drama
